mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.070203625,-3.125803032,-0.05559945,-0.055542246,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.035679576,-3.125803032,-0.090123415,-0.0898802,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.011539913,-3.125803032,-0.11426306,-0.113768384,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.125803032,-3.125803032,0.0,0.0,O
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.138366843,-3.125803032,0.012563944,0.01256328,O
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.046063961,-3.125803032,-0.079739094,-0.07957051,CCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCC(=O)O  ,OCC,-3.728646299,-3.666918281,0.061728,0.06164973,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.754862311,-3.666918281,0.08794403,0.08771803,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.650098961,-3.666918281,-0.016819239,-0.016817635,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.671174055,-3.666918281,0.0042557716,0.004255733,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.654354471,-3.666918281,-0.012563705,-0.012563041,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.663853976,-3.666918281,-0.003064394,-0.00306435,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.635458802,-3.666918281,-0.03145957,-0.03144919,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.691057945,-3.666918281,0.024139643,0.024134966,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.592626717,-3.666918281,-0.07429147,-0.07415507,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.612510607,-3.666918281,-0.054407597,-0.05435395,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.567602174,-3.666918281,-0.09931612,-0.09899088,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.516258541,-3.666918281,-0.1506598,-0.14953017,C
CCCCCCCCCCCC(=O)O  ,OCC,-3.663853976,-3.666918281,-0.003064394,-0.00306435,O
CCCCCCCCCCCC(=O)O  ,OCC,-3.691057945,-3.666918281,0.024139643,0.024134966,O
CCCCCCCCCCCC(=O)O  ,OCC,-3.322562939,-3.666918281,-0.34435534,-0.3313601,CCCCCCCCCCCC(=O)O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.797193936,-4.935790981,-0.13859701,-0.13771637,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.849032077,-4.935790981,-0.08675909,-0.08654205,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.807233673,-4.935790981,-0.1285572,-0.12785366,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.814670309,-4.935790981,-0.12112093,-0.12053208,O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.92343914,-4.935790981,-0.01235199,-0.012351375,O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.868412209,-4.935790981,-0.067379,-0.067277215,N
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.889237274,-4.935790981,-0.04655361,-0.04652003,S
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.889237274,-4.935790981,-0.04655361,-0.04652003,S
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.797193936,-4.935790981,-0.13859701,-0.13771637,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.849032077,-4.935790981,-0.08675909,-0.08654205,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.807233673,-4.935790981,-0.1285572,-0.12785366,C
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.814670309,-4.935790981,-0.12112093,-0.12053208,O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.92343914,-4.935790981,-0.01235199,-0.012351375,O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.868412209,-4.935790981,-0.067379,-0.067277215,N
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.481422743,-4.935790981,-0.4543681,-0.425483,C[C@H](N)C(=O)O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.481422743,-4.935790981,-0.4543681,-0.425483,C[C@H](N)C(=O)O
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.843322912,-4.935790981,-0.09246826,-0.09220561,SS
CCCCCCCCCCO  ,OCC,-4.170545346,-4.428695494,-0.2581501,-0.25256446,C
