mol solvent,mol solute,with_sme,without_sme
CC1=CCC(CC1)C(C)(C)O,OCC,-4.465767404,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.482866619,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.47299445,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.482755877,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.400390976,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.400390976,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.7055415,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-3.953583331,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.096321179,-4.672814433
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.390562416,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.461705891,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.385711701,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.417609126,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.439810671,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.356191662,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.362257898,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.568579685,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.480945151,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.408900938,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.408900938,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.206135321,-4.552158138
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-3.720338263,-4.552158138
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.070515224,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.076521728,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.174917539,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.066115142,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.222641835,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.093842691,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.10908017,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.116222375,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.161433433,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.193710395,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.224849276,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-4.776451333,-5.244057349
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-4.703026147,-5.244057349
CCCCCCCCCCCCCCO  ,OCC,-3.827102635,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.84204119,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.863865577,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.873959495,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.533078125,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.688878519,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.740222152,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.705698104,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.702633799,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.727658342,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.717273957,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.715197609,-3.806205944
