smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
N#CCc(ccc1)cc1Cl,21.00179309,26.71638475,58.55903371,6.959708323,45.28935716,83.1515742,43.289296,25.16567692,19.22236707,96.86408316,41.10211835,51.13899928,9.068649205,0,0,0,0
N#CCc1ccc(Br)cc1,20.04517508,25.51277452,58.29261223,7.988987805,43.71336853,84.77943212,45.59899339,24.63609852,19.9212576,100.0329872,45.14909363,50.89083563,7.862193492,0,0,0,0
n2cc1cc[nH]c1cc2,23.73301104,48.99754173,51.54732996,10.56622927,53.2275258,75.26696689,39.3983543,16.21900382,15.54294666,71.67769045,55.81540764,21.89561538,11.3018765,5.962518807,1.189671211,0,0
n2cc1cn[nH]c1nc2,19.88582569,45.8276295,65.12610146,8.648579237,54.05560835,77.58474632,45.56012392,16.72344207,13.89796166,72.74052769,44.43937128,30.05864567,4.156601582,2.831510474,0.05579331,0,0
n2cc1nc[nH]c1cc2,28.72524356,55.64176455,54.15432818,7.719251112,55.79686642,73.00884914,36.41657024,21.19793814,14.72457805,61.10415522,40.14049156,28.96925065,21.69528145,5.19167241,3.925410846,0.070347865,0
NC(C)(C)C(C)(C)C,7.686236093,20.16868035,59.19158671,34.42214064,30.38470476,90.48536878,44.0740686,7.33697891,18.69384237,162.1260343,22.33698963,6.695470443,2.658495617,0,0,0,0
Nc(ccc1n2)cc1sc2,20.81259106,35.40386965,59.13561183,6.940656583,52.79188255,75.11455096,34.82354311,16.75273968,17.9064208,82.01027473,65.01122086,27.49558425,12.80885015,0,0,0,0
Nc1cc(C)c(C)cc1C,13.00810369,29.50315797,65.67593555,11.08181767,47.19673584,84.41989455,42.77420238,8.656881686,21.11303478,142.4967869,45.91975368,23.00268581,2.340223618,0,0,0,0
Nc1cccc2c1cccc2N,20.43631242,33.05774028,63.38543183,4.959855455,52.95129428,72.66634798,38.69697184,15.58403626,21.16200344,87.35769652,93.41233139,27.28147241,6.111619669,0,0,0,0
Nc1ccccc1C(=O)NO,21.56748631,45.24794374,67.7662553,6.657195795,53.13738821,76.55868993,41.94391527,20.33443397,18.83947338,80.89177029,70.27771284,35.55357787,6.045092323,2.249336678,0,0,0
Nc1ccccc1N(=O)=O,23.0978935,39.91633107,61.98778347,5.612065697,48.98460821,78.41337289,44.75713769,23.09873595,16.41997284,70.64717612,50.60483422,41.29055084,10.68647691,1.843451918,0,0,0
Nc1nc(Cl)cc(C)n1,17.88805546,31.17962707,65.64788893,5.821386381,50.93692087,78.28913205,40.76730493,15.8386355,17.28647186,87.89875251,65.75203055,24.60434804,3.960288897,0,0,0,0
Nc1nc(Cl)cc(N)n1,21.71021869,39.46858244,64.14406885,5.91378588,57.95803298,75.19860537,29.1688495,18.51915201,16.31697818,76.58896303,53.27806265,32.4842361,10.48780761,1.384390604,0,0,0
Nc2cc1ccccc1cc2N,20.99622833,31.08062734,64.031452,4.63409298,53.22601633,72.21523186,39.91008408,15.69967964,21.36386705,87.25109439,87.93274356,32.83276859,7.810563462,0,0,0,0
NCc(cc1F)cc(F)c1,17.23877482,28.21702771,64.10281969,5.096958575,50.38050107,80.15304778,39.24622458,18.69163206,17.40811408,83.19479647,78.7192594,18.76658221,2.537531918,0,0,0,0
NCCNCCNCCNCCNCCN,17.27326478,24.66988388,47.78079678,14.30575988,34.33065818,87.13041802,51.91104252,12.59969508,38.2871421,207.1983595,89.47107861,39.46766754,15.43127882,3.764735583,0,0,0
NNC(=O)Nc1ccccc1,21.77249383,48.26650539,61.17830708,10.379563,56.50712342,75.32488261,39.59071003,16.18219296,20.43051,91.65689595,71.61981017,26.55055772,11.90588879,5.080224299,1.319723072,0,0
NNc2c1ccccc1ccc2,18.56427111,28.9100137,66.00994451,4.490336358,51.37204317,74.75675788,41.53525285,15.86732782,21.39171709,90.09045373,99.39583987,24.27989981,2.290556586,0,0,0,0
NNc2c1ccccc1cnn2,23.02850783,34.80338362,52.3784061,7.16499062,42.06447313,80.65920807,48.69316267,23.17280818,20.18352928,80.17028546,59.98147003,45.89923622,17.39234347,2.65379482,0,0,0
O(CCC2C1CCOC1)C2,18.35543782,14.41261136,59.03066158,16.23638007,28.16230811,91.88907964,65.22799234,15.79575379,19.68054611,83.43618803,95.96618601,12.00271123,10.54573473,0,0,0,0
