smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
Clc1cc(ccc1)C,12.71156737,15.40494022,85.82451851,1.524321174,50.871048,79.54554934,44.21324551,12.89958151,14.41761991,10.10719257,18.31281291,0,0,0,0,0,0
Clc1c(cc(Cl)cc1)C,9.880705334,18.62449203,89.58182957,4.19180882,58.58176287,83.3363353,36.15001333,10.80501607,15.97179812,15.10881945,9.309540812,2.698870179,0,0,0,0,0
Clc1cc(ccc1Cl)C,13.59134138,19.10072607,81.04829886,2.553967209,54.02500717,80.84941869,35.31670441,14.18441617,16.09240073,11.26930338,18.28781781,3.562997539,0,0,0,0,0
Clc1c(c(Cl)ccc1)C,8.798435683,18.87980796,90.48454535,5.903027884,60.2330396,83.75514161,36.29721804,8.59430829,15.74518269,15.89886908,7.179068832,1.962985945,0,0,0,0,0
Clc1c(ccc(Cl)c1)C,9.926247532,20.24450242,89.17933434,4.939294344,59.08290597,83.35939991,36.31888163,10.41505797,15.96664978,15.08774756,9.077379201,3.536358104,0,0,0,0,0
ClC(Cl)(Cl)c1ccccc1,11.96745385,18.53186444,87.79662227,3.774028169,59.01227403,79.95412688,32.03577317,11.31240783,17.51061866,13.74985723,15.533045,4.199855309,0,0,0,0,0
Clc1c(ccc(Cl)c1Cl)C,11.42854107,22.71428363,84.51129824,5.609360809,58.60528425,82.60246176,32.98364852,12.19247475,17.4842401,13.30338991,15.05048761,8.754048602,0,0,0,0,0
Clc1c(cc(Cl)cc1Cl)C,8.876361725,21.57915784,86.0371287,6.396951184,59.45240709,85.72762901,35.54147415,11.55031239,17.61123446,15.39021537,11.79357562,4.61499539,0,0,0,0,0
Clc1c(c(Cl)ccc1Cl)C,8.199450479,20.6644447,85.75537115,8.402214454,59.91208517,85.98827792,36.37002857,9.347010694,17.37904247,16.22960552,9.063981645,5.341813468,0,0,0,0,0
Clc1c(cc(Cl)c(Cl)c1)C,9.079784829,22.29446936,85.06659285,6.557652662,58.57488325,86.06189157,36.39869564,11.87417667,17.63598385,15.03505006,12.48188508,5.233416607,0,0,0,0,0
Clc1c(c(Cl)cc(Cl)c1)C,5.885493351,17.65563298,92.62213688,7.404973439,61.38320828,87.47320721,38.4704264,8.51401295,17.50958511,17.7970827,7.042652817,1.163061084,0,0,0,0,0
Clc1cc(cc(Cl)c1Cl)C,12.23634024,20.77465953,84.73867563,3.732043512,57.32417425,82.35273926,32.51691253,15.43209222,17.73896395,12.14708212,18.71458595,7.587350474,0,0,0,0,0
Brc1ccccc1,12.89904974,16.94579691,86.83875827,1.983415989,55.6776604,79.75634234,35.37309533,14.34760554,12.53197074,9.161211475,15.94687276,0.791354068,0,0,0,0,0
Brc1c(Br)cccc1,12.68434253,20.23675084,83.56907633,4.29790889,58.92644095,82.1301659,30.96313587,12.622075,14.74440715,11.23019978,13.70319041,8.486680172,0,0,0,0,0
Brc1cc(Br)ccc1,9.723558668,21.44865473,90.95929094,6.292496289,63.05818567,84.15737953,33.5094481,10.66854251,14.9204939,14.17951826,7.359967596,8.01777805,0,0,0,0,0
Brc1c(cccc1)C,11.46836392,16.1511821,86.23706349,2.512450994,53.07459076,80.16558047,41.43410088,10.93247946,14.75189554,11.7310467,15.28136625,0,0,0,0,0,0
Brc1cc(ccc1)C,12.84788481,15.78486001,85.73257121,1.468650439,51.19793783,79.16971603,43.7482983,12.95285687,15.02932715,10.3543602,19.13732522,0,0,0,0,0,0
Brc1ccc(cc1)CCl,14.65195095,19.96184225,82.30084601,2.628790891,56.96777662,80.7103043,33.50291393,17.45164531,16.85299854,11.21467817,17.51710864,11.77031906,0,0,0,0,0
Brc1cc(Cl)ccc1,9.667524568,21.22213965,90.74711786,6.417570713,63.21724869,84.08241865,33.44737129,10.12416237,14.30739647,13.78607681,7.140998483,7.189666025,0,0,0,0,0
Ic1ccccc1,10.84868474,15.03620945,89.49566805,1.932476308,55.63726326,82.0910972,37.23635346,13.37618508,13.4496341,12.17276619,11.26228223,0,0,0,0,0,0
ClCc1ccccc1,16.24778279,16.30205227,77.7334333,1.477621165,49.01401694,76.66616156,43.51623089,17.48052707,14.45894734,6.899460008,25.62652498,0.880158154,0,0,0,0,0
BrCc1ccccc1,16.02725962,17.49402926,78.46263421,1.552414034,50.05761111,76.78169682,41.77700906,17.47007819,15.03752397,7.328602046,25.64302962,1.831929099,0,0,0,0,0
FC(F)F,20.25327413,35.29034635,87.3849926,7.10634048,66.62778338,77.68915181,20.0806479,15.52991075,3.69066087,3.527737465,5.193984722,3.538747073,17.30024161,0,0,0,0
ClC(Cl)(F)F,4.879120922,18.85924083,93.28068174,13.77038208,64.34426781,90.22835186,40.44773972,4.766598364,7.104781745,9.443516765,2.687313739,1.273385761,0,0,0,0,0
FC(F)C,23.23023059,21.2595172,75.49169577,1.106150249,46.64853344,69.51365892,61.18382543,21.84393331,6.000175728,1.546619237,15.03300393,12.42687059,0,0,0,0,0
ClC(F)(F)F,6.390901608,21.94735958,95.16493254,12.42141098,64.75787288,86.14154903,44.77089514,5.959846669,5.644626212,8.046379569,2.546558567,1.460984547,0,0,0,0,0
ClCC(F)(F)F,16.50944271,29.07087488,87.07178212,6.500393036,65.01255788,79.48778021,27.87939234,13.08798201,8.245511044,7.125112181,5.615804113,12.89084221,8.5454798,0,0,0,0
ClC(Cl)C(F)(F)F,10.4440799,35.07185145,90.66301822,20.92764714,74.62820065,84.51097072,33.86391427,6.269007104,9.989392895,11.03247391,3.070298308,3.561951011,11.09841921,0,0,0,0
ClC(F)(F)C(Cl)(F)F,4.893187413,20.41559249,94.66995119,17.59265935,68.79527331,86.78404852,41.14694131,3.976427766,10.41942227,12.48366043,2.891896945,2.159346326,0,0,0,0,0
Clc1cc(ccc1)C(F)(F)F,12.52680942,24.2066767,84.76262218,5.437814505,57.84675478,83.74093948,38.80447503,13.28725514,15.59177095,10.97276089,14.36151099,14.34672686,0,0,0,0,0
Clc1ccc(cc1)C(F)(F)F,12.42614126,22.4504447,84.67752916,5.139059768,57.15242871,84.57178753,39.47946119,13.48323889,15.60261473,10.86705865,14.56250612,14.56752211,0,0,0,0,0
Fc1c(F)c(F)c(F)c(F)c1F,12.90813113,19.38764944,93.98874533,1.547623582,59.12177685,83.91892058,33.73629843,23.4655826,12.52800758,10.73118032,10.91150881,4.998019069,0,0,0,0,0
ClC(Cl)(Cl)F,3.662040955,17.09364084,93.06488172,15.9504089,68.04487367,89.94426252,36.98590409,3.783619006,8.493083752,10.72575028,3.095945343,0.576751075,0,0,0,0,0
ClC(Cl)F,11.56149646,31.30780348,86.31634495,14.25738781,69.41068802,83.69589224,34.80654677,8.345284484,6.700718483,7.321823495,4.265044663,4.948875316,7.956404988,0,0,0,0
BrC(F)(F)F,6.790482705,26.92617912,94.76845298,17.55196025,69.46541289,85.79243038,42.75049823,6.433353352,6.297761556,8.355052681,2.71222135,3.145229865,0.422729367,0,0,0,0
ClC(F)(F)C,16.01499009,19.63062077,83.52696237,1.661419925,54.55480301,78.36982236,34.88614994,19.5250557,7.807772508,4.906857607,13.38071526,6.022243167,0,0,0,0,0
ClC(Cl)(F)C(Cl)(F)F,4.600921278,19.18115417,93.18243057,15.41591398,67.73818608,88.29387278,38.49732991,3.471769217,11.68237486,13.3795015,3.677484709,2.206065976,0,0,0,0,0
